id;time;image;response;session;delay
204;2020-01-30 18:47:50;style_0.jpg;0;a896a04e68485f2af6c638545f031063;00:00:02
205;2020-01-30 18:47:51;vae_0.png;1;a896a04e68485f2af6c638545f031063;00:00:01
206;2020-01-30 18:47:53;style_4.jpg;1;a896a04e68485f2af6c638545f031063;00:00:02
207;2020-01-30 18:56:30;style_3.jpg;0;e9a5effc86a5e7478855ed7bde42d090;00:00:05
208;2020-01-30 18:56:34;style_4.jpg;1;e9a5effc86a5e7478855ed7bde42d090;00:00:04
209;2020-01-30 18:56:38;vae_0.png;1;e9a5effc86a5e7478855ed7bde42d090;00:00:04
210;2020-01-30 18:56:43;vae_2.png;0;e9a5effc86a5e7478855ed7bde42d090;00:00:05
211;2020-01-30 18:56:47;vae_3.png;0;e9a5effc86a5e7478855ed7bde42d090;00:00:04
212;2020-01-30 18:56:50;no_vae_0.png;1;e9a5effc86a5e7478855ed7bde42d090;00:00:03
213;2020-01-30 18:56:54;no_vae_2.png;1;e9a5effc86a5e7478855ed7bde42d090;00:00:04
214;2020-01-30 18:56:58;style_1.jpg;1;e9a5effc86a5e7478855ed7bde42d090;00:00:04
215;2020-01-30 18:57:02;no_vae_1.png;0;e9a5effc86a5e7478855ed7bde42d090;00:00:04
216;2020-01-30 18:57:06;vae_4.png;1;e9a5effc86a5e7478855ed7bde42d090;00:00:04
217;2020-01-30 18:57:10;style_2.jpg;0;e9a5effc86a5e7478855ed7bde42d090;00:00:04
218;2020-01-30 18:57:14;no_vae_4.png;0;e9a5effc86a5e7478855ed7bde42d090;00:00:04
219;2020-01-30 18:57:17;vae_1.png;0;e9a5effc86a5e7478855ed7bde42d090;00:00:03
220;2020-01-30 18:57:21;style_0.jpg;1;e9a5effc86a5e7478855ed7bde42d090;00:00:04
221;2020-01-30 18:59:06;no_vae_0.png;0;7e646185a4e021e86caa2fd8ec7d8ebb;00:00:02
222;2020-01-30 18:59:09;no_vae_1.png;0;7e646185a4e021e86caa2fd8ec7d8ebb;00:00:03
223;2020-01-30 18:59:10;style_3.jpg;0;7e646185a4e021e86caa2fd8ec7d8ebb;00:00:01
224;2020-01-30 18:59:11;vae_3.png;0;7e646185a4e021e86caa2fd8ec7d8ebb;00:00:01
225;2020-01-30 18:59:13;vae_2.png;1;7e646185a4e021e86caa2fd8ec7d8ebb;00:00:02
226;2020-01-30 18:59:14;vae_1.png;0;7e646185a4e021e86caa2fd8ec7d8ebb;00:00:01
227;2020-01-30 18:59:16;style_2.jpg;0;7e646185a4e021e86caa2fd8ec7d8ebb;00:00:02
228;2020-01-30 18:59:17;style_0.jpg;0;7e646185a4e021e86caa2fd8ec7d8ebb;00:00:01
229;2020-01-30 18:59:19;style_4.jpg;1;7e646185a4e021e86caa2fd8ec7d8ebb;00:00:02
230;2020-01-30 18:59:21;vae_4.png;1;7e646185a4e021e86caa2fd8ec7d8ebb;00:00:02
231;2020-01-30 18:59:23;style_1.jpg;1;7e646185a4e021e86caa2fd8ec7d8ebb;00:00:02
232;2020-01-30 18:59:24;no_vae_2.png;0;7e646185a4e021e86caa2fd8ec7d8ebb;00:00:01
233;2020-01-30 18:59:26;vae_0.png;0;7e646185a4e021e86caa2fd8ec7d8ebb;00:00:02
234;2020-01-30 18:59:27;no_vae_3.png;0;7e646185a4e021e86caa2fd8ec7d8ebb;00:00:01
235;2020-01-30 18:59:29;no_vae_4.png;1;7e646185a4e021e86caa2fd8ec7d8ebb;00:00:02
236;2020-01-30 19:05:12;no_vae_2.png;0;9f8d82f87b02c38c100205892de73e7f;00:00:05
237;2020-01-30 19:05:14;style_0.jpg;0;9f8d82f87b02c38c100205892de73e7f;00:00:02
238;2020-01-30 19:05:16;style_4.jpg;1;9f8d82f87b02c38c100205892de73e7f;00:00:02
239;2020-01-30 19:05:18;vae_0.png;1;9f8d82f87b02c38c100205892de73e7f;00:00:02
240;2020-01-30 19:05:22;vae_4.png;1;9f8d82f87b02c38c100205892de73e7f;00:00:04
241;2020-01-30 19:05:23;vae_2.png;1;9f8d82f87b02c38c100205892de73e7f;00:00:01
242;2020-01-30 19:05:25;vae_3.png;0;9f8d82f87b02c38c100205892de73e7f;00:00:02
243;2020-01-30 19:05:27;no_vae_4.png;0;9f8d82f87b02c38c100205892de73e7f;00:00:02
244;2020-01-30 19:05:31;style_2.jpg;1;9f8d82f87b02c38c100205892de73e7f;00:00:04
245;2020-01-30 19:05:33;no_vae_1.png;0;9f8d82f87b02c38c100205892de73e7f;00:00:02
246;2020-01-30 19:05:37;no_vae_0.png;1;9f8d82f87b02c38c100205892de73e7f;00:00:04
247;2020-01-30 19:05:39;no_vae_3.png;1;9f8d82f87b02c38c100205892de73e7f;00:00:02
248;2020-01-30 19:05:42;style_1.jpg;1;9f8d82f87b02c38c100205892de73e7f;00:00:03
249;2020-01-30 19:05:43;vae_1.png;0;9f8d82f87b02c38c100205892de73e7f;00:00:01
250;2020-01-30 19:05:44;style_3.jpg;0;9f8d82f87b02c38c100205892de73e7f;00:00:01
251;2020-01-30 19:10:42;no_vae_4.png;0;62a13a522d48c86050fdbf807f1a02f0;00:00:05
252;2020-01-30 19:10:45;vae_0.png;1;62a13a522d48c86050fdbf807f1a02f0;00:00:03
253;2020-01-30 19:10:48;vae_3.png;0;62a13a522d48c86050fdbf807f1a02f0;00:00:03
254;2020-01-30 19:10:51;vae_4.png;1;62a13a522d48c86050fdbf807f1a02f0;00:00:03
255;2020-01-30 19:10:53;style_1.jpg;1;62a13a522d48c86050fdbf807f1a02f0;00:00:02
256;2020-01-30 19:10:57;vae_2.png;1;62a13a522d48c86050fdbf807f1a02f0;00:00:04
257;2020-01-30 19:11:00;no_vae_2.png;0;62a13a522d48c86050fdbf807f1a02f0;00:00:03
258;2020-01-30 19:11:04;vae_1.png;0;62a13a522d48c86050fdbf807f1a02f0;00:00:04
259;2020-01-30 19:11:07;style_2.jpg;0;62a13a522d48c86050fdbf807f1a02f0;00:00:03
